file_name,search_string
attention-network-task-results.json,attention-network-task
berlin-numeracy-test-results.json,estimate the numerical answers of several questions
bickel-titrator-results.json,bickel-titrator
boredom-proneness-scale-short-survey-results.json,boredom-proneness-scale
brief-self-control-survey-results.json,brief-self-control-survey
brief-sensation-seeking-survey-results.json,brief-sensation-seeking
cognitive-estimation-test-results.json,ability to estimate the numerical answers of several questions
cognitive-reflection-survey-results.json,cognitive-reflection
competitiveness-index-revised-survey-results.json,competitiveness-index
dass-21-results.json,dass
effort-avoidance-task-results.json,data[7][difficulty]
emotion-regulation-results.json,emotion-regulation
five-item-ambition-survey-results.json,five-item-ambition
future-time-perspective-survey-results.json,future-time-perspective
general-self-efficacy-survey-results.json,general-self-efficacy
go-nogo-results.json,go-nogo
grit-scale-survey-results.json,grit-scale
holt-laury-survey-results.json,holt-laury
information-sampling-task-results.json,information-sampling
jdm-classics-results.json,q3[q3]
k6-survey-results.json,k6-survey
keep-track-results.json,keep-track
leisure-time-activity-survey-results.json,leisure-time-activity
life-orientation-test-revised-optimism-survey-results.json,life-orientation-test
maximizing-tendency-survey-results.json,maximizing-tendency
mindful-attention-awareness-survey-results.json,mindful-attention-awareness
need-for-cognition-and-faith-in-intuition-survey-results.json,need-for-cognition
perceived-stress-survey-results.json,perceived-stress
plus-minus-results.json,plus-minus
positive-and-negative-affect-short-survey-results.json,positive-and-negative-affect
probabilistic-selection-results.json,probabilistic-selection
propensity-to-plan-survey-results.json,propensity-to-plan
psychomotor-vigilance-test-results.json,clickedAfter][]
ravens-results.json,ravens
rosenberg-self-esteem-survey-results.json,rosenberg-self-esteem
secular-measure-of-work-ethic-survey-results.json,secular-measure-of-work-ethic
semantic-verbal-fluency-results.json,animals[]
shift-task-results.json,shift-task
simon-results.json,simon
simple-reaction-time-results.json,simple-reaction
sona-id-entry-results.json,sona-id-entry
stroop-results.json,stroop
tower-of-london-results.json,tower-of-london
trait-emotional-intelligence-short-survey-results.json,trait-emotional-intelligence
trait-hedonic-capacity-survey-results.json,trait-hedonic-capacity
trait-robustness-of-self-confidence-survey-results.json,trait-robustness-of-self-confidence
two-stage-decision-results.json,two-stage-decision