,StudyDay,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_ashamed,SR_affect_neg_bored,SR_affect_neg_depressed,SR_affect_neg_embarrassed,SR_affect_neg_frustrated,SR_affect_neg_guilty,SR_affect_neg_lazy,SR_affect_neg_lonelyIsolated,SR_affect_neg_nervousAnxious,SR_affect_neg_sad,SR_affect_neg_stressed,SR_affect_pos_amused,SR_affect_pos_appreciated,SR_affect_pos_excited,SR_affect_pos_focused,SR_affect_pos_happy,SR_affect_pos_hopeful,SR_affect_pos_motivated,SR_affect_pos_relaxedCalm,SR_global_past24_ideal,SR_global_past24_noChange,SR_global_past24_noProcrastination,SR_global_past24_productivity,SR_global_past24_punctuality,SR_global_past24_satisfaction,SR_confounds_past24_fatigue,SR_confounds_past24_illness,SR_confounds_past24_stress,SR_confounds_past24_unusualEvents,SR_specific_next24_drinks2,SR_specific_next24_exercise2,SR_specific_next24_leisureNonSolo2,SR_specific_next24_leisureSolo2,SR_specific_next24_nonoccupation2,SR_specific_next24_occupation2,SR_specific_next24_sleep2,SR_specific_past24_drinks,SR_specific_past24_exercise,SR_specific_past24_leisureNonSolo,SR_specific_past24_leisureSolo,SR_specific_past24_nonoccupation,SR_specific_past24_occupation,SR_specific_past24_sleep,SR_gap_drinks,SR_gap_exercise,SR_gap_leisureNonSolo,SR_gap_leisureSolo,SR_gap_nonoccupation,SR_gap_occupation,SR_gap_sleep,SR_goal_report1,SR_goal_report2,SR_goal1_consequences,SR_goal1_importance,SR_goal1_motivationExternal,SR_goal1_motivationInternal,SR_goal2_consequences,SR_goal2_importance,SR_goal2_motivationExternal,SR_goal2_motivationInternal,SR_goal1_gap,SR_goal2_gap
0,2021-09-15,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,53.0,19.0,79.0,66.0,69.0,61.0,6.0,1.0,3.0,3.0,4.0,2.2,2.0,,,6.0,8.0,2.0,1.2,0.2,1.0,5.5,3.0,5.0,,,,,,,,92.0,100.0,4.0,6.0,3.0,5.0,3.0,4.0,5.0,5.0,,
1,2021-09-15,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,75.0,60.0,60.0,80.0,80.0,70.0,6.0,5.0,4.0,1.0,,1.0,,,,7.5,8.5,0.0,0.0,1.0,1.5,1.0,8.0,7.0,,,,,,,,80.0,60.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,,
2,2021-09-16,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,75.0,16.0,50.0,77.0,80.0,71.0,4.0,3.0,5.0,1.0,,1.0,,,,7.5,8.0,0.0,1.0,5.0,1.5,1.0,7.0,8.5,,,,,,,,60.0,80.0,6.0,7.0,5.0,7.0,5.0,6.0,4.0,7.0,,
3,2021-09-17,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,75.0,20.0,50.0,65.0,90.0,70.0,5.0,3.0,5.0,1.0,,1.0,,,,2.0,8.0,0.0,0.75,0.5,1.5,2.0,6.5,7.5,,,,,,,,80.0,50.0,5.0,6.0,7.0,5.0,5.0,5.0,6.0,7.0,,
4,2021-09-18,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,35.0,28.0,52.0,41.0,63.0,46.0,6.0,1.0,3.0,3.0,,1.5,1.5,1.0,6.0,,7.5,2.0,1.5,0.7,2.0,5.0,0.0,5.5,,,,,,,,0.0,38.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,,
5,2021-09-18,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,80.0,15.0,74.0,60.0,71.0,100.0,2.0,2.0,1.0,2.0,,,6.0,,,5.5,6.5,0.0,0.0,8.0,1.0,5.0,2.5,8.5,,,,,,,,83.0,51.0,7.0,7.0,4.0,4.0,5.0,6.0,5.0,7.0,,
6,2021-09-19,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,60.0,23.0,19.0,27.0,71.0,62.0,5.0,1.0,2.0,2.0,0.0,1.1,0.5,0.75,8.0,1.0,7.5,3.0,1.6,1.0,1.5,5.0,0.0,7.5,,,,,,,,0.0,0.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,,
7,2021-09-19,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,91.0,11.0,30.0,97.0,50.0,80.0,2.0,1.0,4.0,2.0,,,,1.0,0.5,9.0,7.0,0.0,1.0,8.0,1.5,2.0,6.0,6.0,,,,,,,,100.0,100.0,6.0,7.0,4.0,4.0,7.0,7.0,4.0,6.0,,
8,2021-09-19,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,75.0,25.0,10.0,30.0,80.0,65.0,5.0,3.0,4.0,2.0,,1.0,,,1.5,7.5,8.0,0.0,0.4,8.0,1.0,1.5,1.5,8.0,,,,,,,,100.0,50.0,5.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,,
9,2021-09-20,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,75.0,20.0,30.0,75.0,85.0,65.0,5.0,1.0,4.0,1.0,,,,1.5,2.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,7.5,6.0,,,,,,,,100.0,70.0,5.0,6.0,4.0,6.0,5.0,6.0,4.0,5.0,,
10,2021-09-21,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,53.0,20.0,77.0,68.0,69.0,61.0,6.0,2.0,3.0,4.0,0.0,1.3,0.5,0.75,4.0,7.0,7.5,2.0,1.1,1.0,1.0,6.0,4.0,5.5,,,,,,,,63.0,0.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,,
11,2021-09-21,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,70.0,25.0,20.0,70.0,24.0,64.0,6.0,1.0,5.0,3.0,,,,1.0,1.0,6.0,8.0,0.0,0.0,4.0,2.0,3.0,3.0,5.0,,,,,,,,100.0,75.0,3.0,6.0,4.0,7.0,4.0,6.0,4.0,6.0,,
12,2021-09-21,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,75.0,29.0,50.0,80.0,100.0,60.0,6.0,6.0,6.0,1.0,,,,1.0,2.0,8.0,8.5,0.0,1.0,1.0,2.0,1.5,8.5,7.0,,,,,,,,60.0,45.0,6.0,7.0,4.0,7.0,5.0,6.0,5.0,7.0,,
13,2021-09-22,229876e0-c6b0-42b7-9d83-85f07f12eb05,4.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,71.0,20.0,30.0,72.0,74.0,70.0,2.0,1.0,4.0,3.0,,,,,,7.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0,,,,,,,,100.0,68.0,7.0,7.0,4.0,7.0,6.0,6.0,4.0,4.0,,
14,2021-09-22,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,75.0,15.0,80.0,80.0,80.0,80.0,6.0,2.0,6.0,1.0,,1.0,,,,8.0,8.5,0.0,0.0,0.5,2.0,1.5,7.0,6.0,,,,,,,,65.0,100.0,7.0,6.0,4.0,7.0,5.0,6.0,5.0,7.0,,
15,2021-09-23,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,60.0,50.0,50.0,29.0,90.0,52.0,7.0,1.0,2.0,1.0,,,4.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,,,,,,,,0.0,0.0,5.0,6.0,4.0,6.0,7.0,6.0,7.0,5.0,,
16,2021-09-23,d26d4b78-7fcf-488e-b687-2d1c93c47b74,1.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,70.0,26.0,50.0,61.0,90.0,74.0,4.0,1.0,7.0,2.0,,0.5,,1.0,,10.0,8.0,0.0,0.5,0.25,1.5,1.5,9.5,7.5,,,,,,,,100.0,100.0,7.0,7.0,7.0,4.0,4.0,6.0,5.0,4.0,,
17,2021-09-23,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,75.0,23.0,70.0,75.0,100.0,85.0,4.0,4.0,5.0,1.0,,1.0,,,,7.5,8.0,0.0,1.0,4.0,1.5,1.0,7.5,8.0,,,,,,,,100.0,75.0,6.0,6.0,4.0,7.0,6.0,6.0,4.0,7.0,,
18,2021-09-24,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,42.0,43.0,42.0,30.0,54.0,39.0,6.0,2.0,3.0,3.0,0.0,2.5,1.0,1.0,2.5,2.5,7.5,4.0,0.5,1.0,1.5,4.5,4.5,6.5,,,,,,,,49.0,0.0,5.0,6.0,4.0,5.0,5.0,6.0,2.0,5.0,,
19,2021-09-24,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,4.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,70.0,30.0,20.0,70.0,60.0,69.0,3.0,1.0,2.0,2.0,,,4.0,1.0,0.5,6.0,8.0,0.0,0.0,4.0,2.0,2.0,3.0,6.0,,,,,,,,0.0,70.0,5.0,6.0,4.0,6.0,7.0,6.0,4.0,5.0,,
20,2021-09-24,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,80.0,20.0,50.0,75.0,90.0,80.0,4.0,1.0,3.0,1.0,,,,,,2.0,8.0,0.0,1.0,1.5,2.0,1.0,7.0,8.0,,,,,,,,50.0,65.0,5.0,6.0,4.0,7.0,6.0,7.0,7.0,6.0,,
21,2021-09-25,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,58.0,29.0,70.0,68.0,76.0,63.0,6.0,2.0,3.0,3.0,0.0,1.75,2.0,1.0,3.0,3.0,8.0,3.0,2.5,0.6,1.5,4.0,2.0,6.5,,,,,,,,0.0,0.0,6.0,7.0,6.0,6.0,4.0,5.0,3.0,6.0,,
22,2021-09-25,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,80.0,15.0,15.0,80.0,72.0,85.0,1.0,1.0,2.0,1.0,,2.5,4.0,2.0,2.0,3.0,8.0,0.0,0.0,3.0,2.0,2.0,4.0,9.0,,,,,,,,100.0,49.0,2.0,3.0,4.0,7.0,6.0,7.0,6.0,4.0,,
23,2021-09-25,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,85.0,15.0,70.0,90.0,100.0,90.0,4.0,4.0,4.0,1.0,,1.0,,,,3.0,8.5,0.0,0.0,6.0,2.0,2.0,2.5,7.0,,,,,,,,90.0,100.0,6.0,7.0,5.0,7.0,5.0,6.0,3.0,7.0,,
24,2021-09-26,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,55.0,33.0,71.0,65.0,71.0,65.0,6.0,2.0,3.0,3.0,0.0,1.1,0.75,0.5,5.0,7.0,7.75,0.0,1.4,2.0,1.0,5.5,3.5,7.3,,,,,,,,0.0,0.0,5.0,6.0,6.0,6.0,3.0,5.0,5.0,6.0,,
25,2021-09-26,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,80.0,10.0,80.0,85.0,90.0,80.0,2.0,5.0,4.0,1.0,,,,,,7.5,8.0,0.0,1.0,8.0,1.0,1.0,3.0,9.0,,,,,,,,95.0,100.0,6.0,7.0,5.0,7.0,5.0,6.0,4.0,7.0,,
26,2021-09-27,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,60.0,25.0,77.0,75.0,73.0,67.0,6.0,2.0,3.0,2.0,0.0,2.0,0.5,0.75,5.0,7.0,7.0,0.0,1.15,0.5,1.0,4.5,6.5,7.4,,,,,,,,50.0,21.0,6.0,6.0,6.0,7.0,3.0,5.0,2.0,6.0,,
27,2021-09-27,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,81.0,12.0,12.0,100.0,71.0,70.0,1.0,1.0,5.0,5.0,,,,1.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,3.5,8.5,8.0,,,,,,,,100.0,0.0,7.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,,
28,2021-09-27,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,80.0,10.0,60.0,85.0,100.0,85.0,6.0,5.0,5.0,1.0,,1.0,,,,8.0,8.0,0.0,0.0,4.0,1.5,2.0,7.5,7.5,,,,,,,,60.0,85.0,6.0,7.0,6.0,7.0,5.0,5.0,3.0,7.0,,
29,2021-09-28,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,62.0,21.0,82.0,76.0,67.0,70.0,6.0,2.0,3.0,2.0,2.0,1.4,0.75,0.5,5.0,6.0,7.5,0.0,2.2,0.1,0.5,5.0,8.5,6.0,,,,,,,,95.0,0.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,,
30,2021-09-28,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,75.0,21.0,75.0,78.0,100.0,62.0,7.0,1.0,5.0,1.0,,,,,0.0,7.5,8.5,0.0,0.0,1.0,3.0,0.0,5.0,5.0,,,,,,,,85.0,100.0,5.0,5.0,4.0,6.0,6.0,7.0,4.0,7.0,,
31,2021-09-28,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,75.0,14.0,30.0,60.0,95.0,75.0,5.0,5.0,4.0,1.0,,1.0,,,,8.0,8.0,0.0,1.0,0.5,2.5,1.0,6.0,8.0,,,,,,,,75.0,90.0,5.0,6.0,6.0,7.0,4.0,6.0,4.0,7.0,,
32,2021-09-29,229876e0-c6b0-42b7-9d83-85f07f12eb05,2.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,71.0,31.0,40.0,72.0,91.0,76.0,4.0,1.0,3.0,2.0,,,,,,8.0,8.0,0.0,0.0,1.0,2.0,1.0,4.0,9.0,,,,,,,,100.0,100.0,5.0,5.0,4.0,7.0,7.0,6.0,4.0,4.0,,
33,2021-09-29,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,60.0,50.0,40.0,70.0,95.0,60.0,5.0,5.0,6.0,1.0,,1.0,,,,8.0,8.0,0.0,1.0,3.0,3.0,1.0,5.5,7.0,,,,,,,,30.0,70.0,6.0,7.0,7.0,6.0,5.0,6.0,4.0,7.0,,
34,2021-09-30,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.5,2.0,2.0,2.5,3.0,2.0,2.5,3.0,3.0,53.0,25.0,78.0,73.0,76.5,63.0,6.0,1.5,3.5,3.0,0.0,0.85,1.0,0.625,6.25,3.0,7.0,2.0,0.65,0.25,0.7,6.0,4.75,6.75,,,,,,,,74.5,91.5,5.5,6.0,4.0,6.0,5.0,6.0,6.0,6.0,,
