,StudyDay,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_ashamed,SR_affect_neg_bored,SR_affect_neg_depressed,SR_affect_neg_embarrassed,SR_affect_neg_frustrated,SR_affect_neg_guilty,SR_affect_neg_lazy,SR_affect_neg_lonelyIsolated,SR_affect_neg_nervousAnxious,SR_affect_neg_sad,SR_affect_neg_stressed,SR_affect_pos_amused,SR_affect_pos_appreciated,SR_affect_pos_excited,SR_affect_pos_focused,SR_affect_pos_happy,SR_affect_pos_hopeful,SR_affect_pos_motivated,SR_affect_pos_relaxedCalm,SR_global_past24_ideal,SR_global_past24_noChange,SR_global_past24_noProcrastination,SR_global_past24_productivity,SR_global_past24_punctuality,SR_global_past24_satisfaction,SR_confounds_past24_fatigue,SR_confounds_past24_illness,SR_confounds_past24_stress,SR_confounds_past24_unusualEvents,SR_specific_next24_drinks2,SR_specific_next24_exercise2,SR_specific_next24_leisureNonSolo2,SR_specific_next24_leisureSolo2,SR_specific_next24_nonoccupation2,SR_specific_next24_occupation2,SR_specific_next24_sleep2,SR_specific_past24_drinks,SR_specific_past24_exercise,SR_specific_past24_leisureNonSolo,SR_specific_past24_leisureSolo,SR_specific_past24_nonoccupation,SR_specific_past24_occupation,SR_specific_past24_sleep,SR_gap_drinks,SR_gap_exercise,SR_gap_leisureNonSolo,SR_gap_leisureSolo,SR_gap_nonoccupation,SR_gap_occupation,SR_gap_sleep,SR_goal_report1,SR_goal_report2,SR_goal1_consequences,SR_goal1_importance,SR_goal1_motivationExternal,SR_goal1_motivationInternal,SR_goal2_consequences,SR_goal2_importance,SR_goal2_motivationExternal,SR_goal2_motivationInternal,SR_goal1_gap,SR_goal2_gap
35,2021-09-30,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,80.0,0.0,0.0,100.0,100.0,81.0,1.0,1.0,5.0,2.0,,,2.0,,1.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,9.5,8.0,,,,,,,,100.0,100.0,7.0,6.0,5.0,1.0,5.0,6.0,4.0,6.0,,
36,2021-09-30,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,75.0,20.0,40.0,80.0,70.0,75.0,5.0,4.0,5.0,1.0,,1.0,,,,8.0,8.0,0.0,0.0,1.0,2.0,2.5,7.0,8.0,,,,,,,,0.0,20.0,5.0,6.0,7.0,6.0,4.0,5.0,4.0,7.0,,
37,2021-10-01,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,73.0,20.0,83.0,52.0,73.0,75.0,6.0,1.0,4.0,4.0,4.0,4.3,4.0,1.0,2.0,0.0,7.2,2.0,1.6,0.5,0.75,5.0,3.0,6.8,,,,,,,,82.0,30.0,3.0,5.0,3.0,7.0,5.0,6.0,6.0,6.0,,
38,2021-10-01,229876e0-c6b0-42b7-9d83-85f07f12eb05,2.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,70.0,20.0,10.0,60.0,70.0,85.0,5.0,1.0,2.0,2.0,,2.0,4.0,2.0,2.0,4.0,8.0,0.0,0.0,2.0,2.0,1.0,6.5,5.0,,,,,,,,100.0,100.0,5.0,5.0,4.0,7.0,6.0,5.0,4.0,7.0,,
39,2021-10-01,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,80.0,17.0,70.0,85.0,90.0,85.0,5.0,3.0,6.0,1.0,,1.0,,,2.0,4.0,8.5,0.0,1.0,1.0,2.0,1.5,7.5,8.0,,,,,,,,0.0,20.0,6.0,6.0,7.0,6.0,2.0,3.0,3.0,7.0,,
40,2021-10-02,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,75.0,20.0,80.0,64.0,85.0,76.0,6.0,2.0,2.0,5.0,,,9.5,0.5,4.0,3.0,8.5,1.0,5.0,4.0,2.0,1.0,0.0,6.8,,,,,,,,90.0,91.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,,
41,2021-10-02,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,96.0,21.0,21.0,70.0,29.0,100.0,1.0,1.0,2.0,2.0,,,5.0,1.0,2.0,6.0,7.0,0.0,4.5,8.0,1.0,2.0,1.0,9.0,,,,,,,,56.0,100.0,6.0,7.0,6.0,6.0,3.0,6.0,4.0,6.0,,
42,2021-10-02,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,65.0,60.0,40.0,65.0,95.0,70.0,6.0,3.0,5.0,1.0,,1.0,,,,5.0,8.5,0.0,0.0,8.0,1.0,2.5,3.0,7.5,,,,,,,,50.0,0.0,1.0,2.0,2.0,7.0,6.0,7.0,7.0,6.0,,
43,2021-10-03,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,40.0,53.0,56.0,32.0,35.0,38.0,6.0,2.0,4.0,5.0,0.0,1.1,0.5,0.5,3.5,8.0,7.0,0.0,2.2,2.0,2.0,3.0,0.0,7.0,,,,,,,,70.0,0.0,7.0,7.0,7.0,7.0,6.0,7.0,3.0,7.0,,
44,2021-10-03,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,84.0,0.0,0.0,100.0,70.0,100.0,1.0,1.0,6.0,1.0,,,,1.0,,12.0,8.0,0.0,0.0,4.0,0.0,1.0,8.5,7.0,,,,,,,,100.0,100.0,6.0,6.0,4.0,6.0,6.0,6.0,7.0,4.0,,
45,2021-10-03,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,70.0,70.0,61.0,70.0,90.0,50.0,4.0,3.0,4.0,1.0,,1.0,,,,8.0,8.0,0.0,0.0,5.0,1.5,1.0,3.5,10.0,,,,,,,,0.0,100.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,,
46,2021-10-04,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,56.0,23.0,83.0,81.0,78.0,51.0,6.0,2.0,3.0,2.0,0.0,2.1,0.5,0.5,4.0,7.0,7.5,0.0,1.2,0.5,1.0,4.0,7.5,6.75,,,,,,,,85.0,100.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,
47,2021-10-04,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,85.0,0.0,5.0,100.0,100.0,100.0,1.0,1.0,6.0,2.0,,,,,,9.0,6.0,0.0,0.0,1.0,0.5,0.0,10.0,8.0,,,,,,,,100.0,50.0,5.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,,
48,2021-10-05,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,80.0,0.0,0.0,100.0,100.0,80.0,4.0,1.0,6.0,2.0,,,,1.0,,10.0,7.0,0.0,0.0,0.5,1.0,0.0,12.0,7.0,,,,,,,,100.0,100.0,6.0,6.0,4.0,7.0,4.0,7.0,7.0,7.0,,
49,2021-10-05,e7b2c780-2e2c-4181-8075-0719e0434215,1.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,75.0,20.0,60.0,74.0,100.0,80.0,3.0,1.0,2.0,3.0,,2.0,,,,,8.0,0.0,0.0,3.0,3.0,3.0,10.0,6.0,,,,,,,,89.0,76.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,1.0,,
50,2021-10-05,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,70.0,21.0,75.0,75.0,90.0,80.0,5.0,2.0,5.0,1.0,,1.0,,,,8.0,,0.0,1.0,1.5,2.0,1.0,8.0,6.8,,,,,,,,100.0,100.0,6.0,7.0,7.0,6.0,4.0,5.0,3.0,7.0,,
51,2021-10-06,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.5,1.5,1.5,2.0,1.5,1.0,2.5,2.0,2.0,2.0,3.5,2.5,2.5,3.5,2.5,50.0,22.0,80.0,66.0,76.5,68.5,6.0,2.0,3.0,3.5,1.0,1.5,0.5,0.625,4.25,6.5,7.5,1.0,1.65,0.625,0.875,6.0,7.5,3.75,,,,,,,,53.0,29.0,6.0,6.0,3.5,6.0,3.5,5.5,4.0,6.5,,
52,2021-10-06,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,4.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,65.0,25.0,55.0,86.0,75.0,80.0,4.0,1.0,5.0,1.0,,2.0,4.0,,,8.0,6.5,0.0,0.0,0.0,3.0,0.0,7.0,8.0,,,,,,,,0.0,50.0,6.0,6.0,4.0,7.0,6.0,6.0,5.0,6.0,,
53,2021-10-06,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,75.0,15.0,70.0,75.0,80.0,90.0,5.0,4.0,6.0,1.0,,1.0,,,1.5,8.0,8.0,0.0,1.0,5.0,2.0,0.5,8.0,7.5,,,,,,,,85.0,50.0,5.0,5.0,4.0,7.0,4.0,6.0,5.0,7.0,,
54,2021-10-07,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,70.0,15.0,0.0,85.0,100.0,100.0,2.0,1.0,2.0,1.0,,,2.0,1.0,1.0,8.0,8.0,0.0,2.0,4.0,1.0,0.0,6.0,6.5,,,,,,,,51.0,100.0,6.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,,
55,2021-10-07,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,75.0,20.0,60.0,65.0,80.0,69.0,3.0,2.0,5.0,1.0,,1.0,,,,8.0,8.0,0.0,0.0,5.0,2.0,1.5,7.0,7.5,,,,,,,,60.0,0.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,7.0,,
56,2021-10-08,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,55.0,23.0,58.0,56.0,69.0,50.0,5.0,2.0,3.0,3.0,3.0,2.2,2.0,0.5,5.0,5.0,7.5,3.0,1.3,0.75,1.5,5.5,4.0,6.5,,,,,,,,0.0,47.0,6.0,6.0,5.0,7.0,4.0,6.0,6.0,6.0,,
57,2021-10-09,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,58.0,24.0,74.0,61.0,74.0,55.0,6.0,2.0,3.0,4.0,0.0,2.0,0.75,0.75,3.5,4.0,7.5,3.0,1.75,3.0,0.8,6.0,0.0,5.75,,,,,,,,0.0,100.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,6.0,,
58,2021-10-09,229876e0-c6b0-42b7-9d83-85f07f12eb05,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,70.0,31.0,19.0,49.0,70.0,59.0,5.0,1.0,1.0,5.0,,,2.0,2.0,1.5,3.0,6.0,0.0,5.5,6.0,0.5,0.0,0.0,7.0,,,,,,,,80.0,0.0,5.0,6.0,4.0,7.0,5.0,6.0,4.0,7.0,,
59,2021-10-09,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,80.0,40.0,80.0,80.0,85.0,75.0,6.0,5.0,5.0,2.0,,1.0,,,,5.0,8.0,0.0,1.0,8.0,2.0,0.5,5.0,7.0,,,,,,,,70.0,70.0,5.0,6.0,4.0,7.0,7.0,7.0,7.0,6.0,,
60,2021-10-10,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,47.0,34.0,51.0,27.0,66.0,52.0,5.0,2.0,3.0,3.0,0.0,1.0,2.0,0.5,6.0,4.5,8.0,0.0,2.0,0.75,2.0,4.5,1.0,10.5,,,,,,,,0.0,100.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,,
61,2021-10-10,229876e0-c6b0-42b7-9d83-85f07f12eb05,3.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,81.0,20.0,20.0,74.0,70.0,85.0,6.0,1.0,4.0,2.0,,,1.0,2.0,,10.0,8.5,1.0,0.0,3.0,1.0,2.0,4.0,6.5,,,,,,,,80.0,60.0,5.0,6.0,4.0,7.0,7.0,7.0,7.0,4.0,,
62,2021-10-10,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,90.0,14.0,85.0,75.0,70.0,95.0,5.0,4.0,3.0,2.0,,1.0,,,,2.0,8.5,0.0,0.0,8.0,2.0,1.0,4.0,7.5,,,,,,,,80.0,90.0,5.0,6.0,4.0,7.0,6.0,6.0,4.0,7.0,,
63,2021-10-11,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,45.0,35.0,68.0,35.0,67.0,45.0,5.0,2.0,4.0,4.0,0.0,2.0,0.5,0.75,7.0,6.0,6.5,3.0,1.0,2.0,2.0,5.5,1.0,5.5,,,,,,,,0.0,0.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,,
64,2021-10-11,229876e0-c6b0-42b7-9d83-85f07f12eb05,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,89.0,6.0,19.0,76.0,80.0,89.0,2.0,1.0,3.0,2.0,,,,2.0,2.0,6.0,9.0,0.0,0.0,4.0,0.5,0.0,8.5,7.0,,,,,,,,100.0,100.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,6.0,,
65,2021-10-11,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,70.0,42.0,50.0,50.0,85.0,70.0,6.0,6.0,5.0,2.0,,1.0,,,,5.0,8.0,0.0,0.0,5.0,2.0,1.0,3.5,8.0,,,,,,,,0.0,60.0,5.0,6.0,3.0,7.0,6.0,6.0,7.0,5.0,,
66,2021-10-12,ff6860f4-c110-4545-9297-95f8888d2e03,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,,,,,,,,,,,,1.0,,,2.0,8.0,8.0,0.0,0.0,8.0,2.0,4.0,5.0,7.0,,,,,,,,0.0,80.0,6.0,7.0,5.0,7.0,3.0,3.0,4.0,7.0,,
67,2021-10-13,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.5,1.0,1.0,1.0,1.5,2.5,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.5,3.5,2.0,2.5,3.0,2.0,55.0,23.0,23.0,75.0,69.0,65.0,7.0,2.0,,2.0,1.0,82.5,0.5,0.875,4.5,5.0,6.75,1.0,105.0,0.5,0.875,4.0,7.5,4.5,,,,,,,,89.5,61.0,6.5,6.5,5.0,6.5,3.0,5.0,4.5,5.5,,
68,2021-10-13,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,80.0,20.0,31.0,0.0,70.0,90.0,1.0,1.0,,2.0,,,,0.5,1.0,10.0,7.0,1.0,0.0,8.5,1.0,0.0,1.5,8.0,,,,,,,,80.0,0.0,7.0,7.0,4.0,6.0,6.0,6.0,4.0,6.0,,
69,2021-10-13,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,70.0,30.0,36.0,69.0,100.0,80.0,5.0,6.0,,1.0,,60.0,6.0,,,8.0,8.5,0.0,1.0,6.0,2.0,2.0,7.0,8.0,,,,,,,,100.0,100.0,6.0,7.0,7.0,7.0,4.0,6.0,4.0,6.0,,
70,2021-10-14,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,85.0,10.0,20.0,85.0,100.0,80.0,5.0,5.0,,1.0,,60.0,,,,8.0,8.0,0.0,0.0,5.0,2.0,1.0,8.0,8.5,,,,,,,,85.0,70.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,,
71,2021-10-15,01801252-3a7e-4f5f-8b6d-49e8da3902f3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,2.0,1.5,1.0,2.0,2.0,2.0,2.0,3.5,2.5,2.5,3.5,2.0,48.5,21.5,19.0,74.5,71.5,63.5,6.5,2.0,,2.0,2.5,32.5,2.25,1.125,4.0,3.25,5.75,1.0,137.5,0.25,1.1,6.5,6.25,5.5,,,,,,,,75.5,29.5,6.0,6.5,5.0,6.0,4.5,5.5,5.5,6.0,,
72,2021-10-15,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,100.0,10.0,9.0,85.0,70.0,65.0,2.0,1.0,,2.0,,2.0,3.0,,,4.0,6.5,0.0,0.0,0.0,1.0,0.0,10.0,3.5,,,,,,,,89.0,20.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,2.0,,
73,2021-10-16,229876e0-c6b0-42b7-9d83-85f07f12eb05,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,85.0,0.0,5.0,100.0,95.0,95.0,3.0,1.0,,2.0,,,6.0,,1.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,6.0,6.5,,,,,,,,100.0,100.0,7.0,6.0,7.0,2.0,5.0,6.0,6.0,6.0,,
74,2021-10-16,ff6860f4-c110-4545-9297-95f8888d2e03,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,85.0,6.0,15.0,90.0,95.0,85.0,5.0,2.0,,2.0,,60.0,,,,5.0,8.5,4.0,30.0,5.0,1.0,2.0,5.0,8.0,,,,,,,,90.0,90.0,6.0,6.0,5.0,7.0,5.0,6.0,3.0,7.0,,
75,2021-10-17,ff6860f4-c110-4545-9297-95f8888d2e03,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,70.0,20.0,30.0,70.0,80.0,85.0,5.0,2.0,,3.0,,60.0,,,,8.0,8.0,0.0,0.0,5.0,2.0,2.0,4.0,9.0,,,,,,,,70.0,0.0,6.0,7.0,4.0,7.0,4.0,5.0,3.0,7.0,,
